price,quantity,type,timestamp
532.9,145.2652,1,2022-05-21 23:35:45
532.0,40513.3993,0,2022-05-21 23:35:47
531.9,1067.0024,0,2022-05-21 23:35:47
531.8,80442.4215,0,2022-05-21 23:35:47
531.7,45835.6389,0,2022-05-21 23:35:47
531.6,49085.2826,0,2022-05-21 23:35:47
532.5,4024.5033,1,2022-05-21 23:35:47
532.6,45322.0464,1,2022-05-21 23:35:47
532.7,128315.8511,1,2022-05-21 23:35:47
532.8,49073.8924,1,2022-05-21 23:35:47
532.9,145.2652,1,2022-05-21 23:35:47
532.0,40513.3993,0,2022-05-21 23:35:49
531.9,1067.0024,0,2022-05-21 23:35:49
531.8,80442.4215,0,2022-05-21 23:35:49
531.7,45835.6389,0,2022-05-21 23:35:49
531.6,49085.2826,0,2022-05-21 23:35:49
532.5,4024.5033,1,2022-05-21 23:35:49
532.6,45322.0464,1,2022-05-21 23:35:49
532.7,128315.8511,1,2022-05-21 23:35:49
532.8,49073.8924,1,2022-05-21 23:35:49
532.9,145.2652,1,2022-05-21 23:35:49
532.0,40513.3993,0,2022-05-21 23:35:52
531.9,1067.0024,0,2022-05-21 23:35:52
531.8,80442.4215,0,2022-05-21 23:35:52
531.7,45835.6389,0,2022-05-21 23:35:52
531.6,49085.2826,0,2022-05-21 23:35:52
532.5,4024.5033,1,2022-05-21 23:35:52
532.6,44272.546,1,2022-05-21 23:35:52
532.7,128315.8511,1,2022-05-21 23:35:52
532.8,49073.8924,1,2022-05-21 23:35:52
532.9,145.2652,1,2022-05-21 23:35:52
532.0,40513.3993,0,2022-05-21 23:35:54
531.9,1067.0024,0,2022-05-21 23:35:54
531.8,80442.4215,0,2022-05-21 23:35:54
531.7,45835.6389,0,2022-05-21 23:35:54
531.6,49085.2826,0,2022-05-21 23:35:54
532.5,4024.5033,1,2022-05-21 23:35:54
532.6,44272.546,1,2022-05-21 23:35:54
532.7,128315.8511,1,2022-05-21 23:35:54
532.8,49073.8924,1,2022-05-21 23:35:54
532.9,145.2652,1,2022-05-21 23:35:54
532.0,40513.3993,0,2022-05-21 23:35:56
